kode;nama;is_summary
"0";"Urusan Umum";1
"0.00";"Urusan Umum";0
"1";"URUSAN WAJIB";1
"1.01";"Pendidikan";0
"1.02";"Kesehatan";0
"1.03";"Pekerjaan Umum";0
"1.04";"Perumahan";0
"1.05";"Penataan Ruang";0
"1.06";"Perencanaan Pembangunan";0
"1.07";"Perhubungan";0
"1.08";"Lingkungan Hidup";0
"1.09";"Pertanahan";0
"1.10";"Kependudukan dan Catatan Sipil";0
"1.11";"Pemberdayaan Perempuan dan Perlindungan Anak";0
"1.12";"Keluarga Berencana dan Keluarga Sejahtera";0
"1.13";"Sosial";0
"1.14";"Ketenagakerjaan";0
"1.15";"Koperasi dan Usaha Kecil Menengah";0
"1.16";"Penanaman Modal";0
"1.17";"Kebudayaan";0
"1.18";"Kepemudaan dan Olah Raga";0
"1.19";"Kesatuan Bangsa dan Politik Dalam Negeri";0
"1.20";"Otda, Pem. Umum, AKD, Prkt Daerah, Kepeg, Prsndian";0
"1.21";"Ketahanan Pangan";0
"1.22";"Pemberdayaan Masyarakat Desa";0
"1.23";"Statistik";0
"1.24";"Kearsipan";0
"1.25";"Komunikasi dan Informatika";0
"1.26";"Perpustakaan";0
"2";"URUSAN PILIHAN";1
"2.01";"Pertanian";0
"2.02";"Kehutanan";0
"2.03";"Energi dan Sumberdaya Mineral";0
"2.04";"Pariwisata";0
"2.05";"Kelautan dan Perikanan";0
"2.06";"Perdagangan";0
"2.07";"Industri";0
"2.08";"Ketransmigrasian";0
